exp,id,exp_type,condition,resp,correct_resp,correct,number_faces,validity,rt
1,0,witness,congruent,1,1,1,1,0.406,NA
1,0,witness,congruent,0,1,0,1,0.30000000000000004,NA
1,0,witness,congruent,1,0,0,2,0.41300000000000003,NA
1,0,witness,congruent,1,1,1,1,0.406,2.1665799999999997
1,0,witness,congruent,0,0,1,2,0.41300000000000003,2.9042
1,0,witness,congruent,1,1,1,2,0.22699999999999998,2.16284
1,0,witness,congruent,0,0,1,1,0.30000000000000004,2.68928
1,0,witness,congruent,1,1,1,2,0.31799999999999995,1.424
1,0,witness,congruent,1,0,0,1,0.30000000000000004,NA
1,0,witness,congruent,1,0,0,1,0,1.2978599999999998
1,0,witness,congruent,1,0,0,1,0,1.31568
1,0,witness,congruent,1,1,1,0,0.41300000000000003,1.11652
1,0,witness,congruent,1,1,1,1,0.30000000000000004,1.23836
1,0,witness,congruent,0,0,1,1,0.43700000000000006,1.46582000000001
1,0,witness,congruent,0,0,1,1,0.43700000000000006,1.24092
1,0,witness,congruent,0,0,1,1,0.30000000000000004,2.11336
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.994380000000005
1,0,witness,congruent,1,1,1,2,0.41300000000000003,1.94422
1,0,witness,congruent,1,1,1,0,0.04600000000000004,1.12314
1,0,witness,congruent,0,0,1,0,0.41300000000000003,1.05464
1,0,witness,congruent,1,1,1,1,0,1.1689200000000002
1,0,witness,congruent,1,1,1,2,0.31799999999999995,0.845059999999998
1,0,witness,congruent,0,0,1,2,0.22699999999999998,1.93089999999999
1,0,witness,congruent,1,1,1,1,0.406,0.746720000000001
1,0,witness,congruent,0,0,1,1,0.43700000000000006,0.9795200000000039
1,0,witness,congruent,0,0,1,2,0.41300000000000003,1.7289400000000001
1,0,witness,congruent,0,0,1,1,0.43700000000000006,0.978139999999999
1,0,witness,congruent,0,0,1,1,0.43700000000000006,0.7281000000000061
1,0,witness,congruent,1,1,1,2,0.41300000000000003,1.1043399999999999
1,0,witness,congruent,0,1,0,0,0.04600000000000004,0.799619999999995
1,0,witness,congruent,1,1,1,2,0.41300000000000003,1.19532000000001
1,0,witness,congruent,1,1,1,0,0.04600000000000004,0.650200000000012
1,0,witness,congruent,1,1,1,1,0.30000000000000004,1.32692000000001
1,0,witness,congruent,1,1,1,1,0.406,0.6792399999999911
1,0,witness,congruent,1,1,1,1,0.406,0.493739999999991
1,0,witness,congruent,0,0,1,2,0.41300000000000003,1.35326000000001
1,0,witness,congruent,1,0,0,1,0.406,0.719559999999998
1,0,witness,congruent,1,1,1,1,0.406,0.563859999999986
1,0,witness,congruent,0,1,0,2,0.41300000000000003,1.22988
